10		10		10		10		10		10		10		10		10		10	
Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_UV		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond%		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Conc		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Pressure		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Flow		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Temp		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Fractions		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Inject		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Logbook	
ml	 mAU	ml	 mS/cm	ml	 %	ml	 %B	ml	 MPa	ml	 ml/min	ml	 °C	ml	(Fractions)	ml	(Injections)	ml	(Set Marks)
  14.068	 2007.418000	  14.661	   55.003000	  14.661	   55.000000	  14.661	  100.000000	  14.661	    0.000000	  14.661	    1.000000	  14.659	   24.800000	         	            	         	            	         	            
  14.228	 2007.431000	  14.827	   55.003000	  14.827	   55.000000	  14.827	  100.000000	  14.827	    0.000000	  14.827	    1.000000	  14.826	   24.800000	         	            	         	            	         	            
  14.388	 2007.630000	  14.994	   54.997000	  14.994	   55.000000	  14.994	  100.000000	  14.994	    0.000000	  14.994	    1.000000	  14.992	   24.800000	         	            	         	            	         	            
  14.548	 2007.650000	  15.160	   54.999000	  15.160	   55.000000	  15.160	  100.000000	  15.160	    0.000000	  15.160	    1.000000	  15.159	   24.800000	         	            	         	            	         	            
  14.708	 2007.689000	  15.327	   55.008000	  15.327	   55.000000	  15.327	  100.000000	  15.327	    0.000000	  15.327	    1.000000	  15.325	   24.800000	         	            	         	            	         	            
  14.868	 2007.620000	  15.493	   55.008000	  15.493	   55.000000	  15.493	  100.000000	  15.493	    0.000000	  15.493	    1.000000	  15.492	   24.800000	         	            	         	            	         	            
  15.028	 2007.567000	  15.660	   54.997000	  15.660	   55.000000	  15.660	  100.000000	  15.660	    0.000000	  15.660	    1.000000	  15.658	   24.800000	         	            	         	            	         	            
  15.188	 2007.451000	  15.827	   55.008000	  15.827	   55.000000	  15.827	  100.000000	  15.827	    0.000000	  15.827	    1.000000	  15.825	   24.800000	         	            	         	            	         	            
  15.347	 2007.451000	  15.993	   55.007000	  15.993	   55.000000	  15.993	  100.000000	  15.993	    0.000000	  15.993	    1.000000	  15.992	   24.800000	         	            	         	            	         	            
  15.507	 2007.781000	  16.160	   55.008000	  16.160	   55.000000	  16.160	  100.000000	  16.160	    0.000000	  16.160	    1.000000	  16.158	   24.800000	         	            	         	            	         	            
  15.667	 2007.651000	  16.326	   55.004000	  16.326	   55.000000	  16.326	  100.000000	  16.326	    0.000000	  16.326	    1.000000	  16.325	   24.800000	         	            	         	            	         	            
  15.827	 2007.664000	  16.493	   55.008000	  16.493	   55.000000	  16.493	  100.000000	  16.493	    0.000000	  16.493	    1.000000	  16.491	   24.800000	         	            	         	            	         	            
  15.987	 2007.600000	  16.660	   55.012000	  16.660	   55.000000	  16.660	  100.000000	  16.660	    0.000000	  16.660	    1.000000	  16.658	   24.800000	         	            	         	            	         	            
  16.147	 2007.801000	  16.826	   55.002000	  16.826	   55.000000	  16.826	  100.000000	  16.826	    0.000000	  16.826	    1.000000	  16.824	   24.800000	         	            	         	            	         	            
  16.307	 2007.547000	  16.993	   55.001000	  16.993	   55.000000	  16.993	  100.000000	  16.993	    0.000000	  16.993	    1.000000	  16.991	   24.800000	         	            	         	            	         	            
  16.467	 2007.619000	  17.159	   55.006000	  17.159	   55.000000	  17.159	  100.000000	  17.159	    0.000000	  17.159	    1.000000	  17.158	   24.800000	         	            	         	            	         	            
  16.626	 2007.584000	  17.326	   55.013000	  17.326	   55.000000	  17.326	  100.000000	  17.326	    0.000000	  17.326	    1.000000	  17.324	   24.800000	         	            	         	            	         	            
  16.786	 2007.399000	  17.493	   55.017000	  17.493	   55.000000	  17.493	  100.000000	  17.493	    0.000000	  17.493	    1.000000	  17.491	   24.800000	         	            	         	            	         	            
  16.946	 2007.372000	  17.659	   55.027000	  17.659	   55.000000	  17.659	  100.000000	  17.659	    0.000000	  17.659	    1.000000	  17.657	   24.800000	         	            	         	            	         	            
